Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
1.21,0,0.4969101281204860985863947561,0.496910128,0.367007565,0.496910128,0.367007565,0,0,0,0,8.179261988232638460352053527,128.02021337440607247281024044,122.5227154236367936706562108,130131000
1.22,0,0.4947680233223183511713757703,0.494768023,0.36486546,0.494768023,0.36486546,0,0,0,0,8.179072217558130860352053527,128.03661629205864229806955606,122.53572237338891150527483769,131206500
1.23,0,0.4926471550392970701832684966,0.492647155,0.362744592,0.492647155,0.362744592,0,0,0,0,8.178809514455904160352053527,128.05209478504427026486672038,122.54793986286233923688649891,132281900
1.24,0,0.4905470644678712996960760836,0.490547064,0.360644501,0.490547064,0.360644501,0,0,0,0,8.178482088854543860352053526,128.06678919173221850707018804,122.55948571906578972136426431,133357400
1.25,0,0.4884673105462541681068725548,0.488467311,0.358564747,0.488467311,0.358564747,0,0,0,0,8.178095810627527960352053527,128.08075131327574885166209817,122.5704053139475039254729667,134432900
1.26,0,0.4864074590382441878952279528,0.486407459,0.356504896,0.486407459,0.356504896,0,0,0,0,8.181417794715225560352053527,128.03578530302471512952586965,122.53663400075826193852094323,135508300
1.27,0,0.4843671316535652629142025700,0.484367132,0.354464568,0.484367132,0.354464568,0,0,0,0,8.184642006798330360352053526,127.99108035133487431905948966,122.5029971181008660271065938,136583800
1.28,0,0.4823459232923156545281538394,0.482345923,0.35244336,0.482345923,0.35244336,0,0,0,0,8.187776586935734260352053527,127.94648695094569748413482726,122.46938090889728959060340577,137659200
1.29,0,0.4803434592398235101377151976,0.480343459,0.350440896,0.480343459,0.350440896,0,0,0,0,8.190825676718171660352053527,127.90218747369924060213533889,122.4359346866897452772805715,138734700
1.3,0,0.4783593916160931214438004489,0.478359392,0.348456828,0.478359392,0.348456828,0,0,0,0,8.193798615336340760352053527,127.85805142725677394827368425,122.40256061028011530860831029,139810200
1.31,0,0.4763933873641719627170639294,0.476393387,0.346490824,0.476393387,0.346490824,0,0,0,0,8.196698978455483460352053526,127.81405548855039606199149093,122.36924276840294467778518021,140885600
1.32,0,0.4744450809582849585765658272,0.474445081,0.344542518,0.474445081,0.344542518,0,0,0,0,8.199531734422842960352053527,127.77032974183760880579211261,122.33608905494767730374741314,141961100
1.33,0,0.4725142156996443898491559233,0.472514216,0.342611653,0.472514216,0.342611653,0,0,0,0,8.202301282232325860352053526,127.72679319454180411383785469,122.30303785021028108451102503,143036600
1.34,0,0.4706004216262568526661761821,0.470600422,0.340697858,0.470600422,0.340697858,0,0,0,0,8.205011577991533860352053526,127.68343414161367280261124547,122.27008271429526911862088189,144112000
1.35,0,0.4687034375933203953744514609,0.468703438,0.338800874,0.468703438,0.338800874,0,0,0,0,8.207667111302581060352053527,127.64024888782939678652101128,122.23722394716419219796262399,145187500
1.36,0,0.4668229552737175169307081503,0.466822955,0.336920392,0.466822955,0.336920392,0,0,0,0,8.210269958182110160352053527,127.59728950589429266401768534,122.20450493039944644589683325,146263000
1.37,0,0.4649587156413248817529713951,0.464958716,0.335056152,0.464958716,0.335056152,0,0,0,0,8.212823931845260160352053526,127.55448128112260328638218903,122.17186855376142614020110697,147338400
1.38,0,0.4631104489764820139842130439,0.463110449,0.333207886,0.463110449,0.333207886,0,0,0,0,8.215331515357705160352053527,127.51181291823818360901565141,122.13930763198450231596127983,148413900
